Unique,State/Territory,Remoteness,Sex,Age Group,Death,To hospital,To another aged care service,Return to community,Other,Exits,Lives alone,Lives with family,Lives with others,Unknown,Not applicable,Admissions,Widowed,Married/De Facto,Divorced,Separated,Single,Unknown,Living
QldRemoteMale85-89,Qld,Remote,Male,85-89,0,0,0,0,0,0,7,3,0,0,1,11,6,6,0,2,3,0,17
QldRemoteFemale85-89,Qld,Remote,Female,85-89,10,0,0,1,0,11,6,5,1,0,0,12,29,7,1,1,2,1,41
QldVery remoteMale85-89,Qld,Very remote,Male,85-89,4,0,0,0,0,4,1,4,0,0,0,5,3,1,0,0,2,0,6
QldVery remoteFemale85-89,Qld,Very remote,Female,85-89,4,1,0,0,0,5,4,0,0,0,1,5,6,5,0,0,0,0,11
WAMajor citiesMale85-89,WA,Major cities,Male,85-89,295,9,6,7,7,324,105,215,2,0,27,349,224,371,47,21,39,10,712
WAMajor citiesFemale85-89,WA,Major cities,Female,85-89,564,19,15,17,4,619,256,203,3,0,44,506,1540,433,78,24,101,27,2203
WAInner regionalMale85-89,WA,Inner regional,Male,85-89,68,1,0,1,1,71,25,49,1,0,7,82,43,70,9,2,6,2,132
WAInner regionalFemale85-89,WA,Inner regional,Female,85-89,82,0,2,4,1,89,46,49,0,0,9,104,262,98,14,3,8,2,387
WAOuter regionalMale85-89,WA,Outer regional,Male,85-89,23,1,1,0,1,26,12,23,1,0,3,39,23,19,2,2,3,0,49
WAOuter regionalFemale85-89,WA,Outer regional,Female,85-89,46,4,2,1,0,53,34,18,0,0,4,56,121,31,6,3,6,1,168
WARemoteMale85-89,WA,Remote,Male,85-89,0,0,0,0,0,0,3,3,0,0,0,6,1,4,1,0,1,0,7
WARemoteFemale85-89,WA,Remote,Female,85-89,7,0,0,0,0,7,1,3,0,0,2,6,15,2,0,0,0,1,18
WAVery remoteMale85-89,WA,Very remote,Male,85-89,1,0,0,0,0,1,0,1,0,0,0,1,3,3,1,4,0,0,11
WAVery remoteFemale85-89,WA,Very remote,Female,85-89,0,0,0,0,0,0,0,1,1,0,0,2,10,0,0,0,0,0,10
SAMajor citiesMale85-89,SA,Major cities,Male,85-89,407,4,7,7,1,426,133,215,17,0,11,376,291,469,41,24,44,9,878
SAMajor citiesFemale85-89,SA,Major cities,Female,85-89,687,10,8,19,4,728,328,238,15,0,31,612,1872,603,92,18,96,25,2706
SAInner regionalMale85-89,SA,Inner regional,Male,85-89,60,0,1,0,0,61,15,28,3,0,4,50,39,73,5,2,5,1,125
SAInner regionalFemale85-89,SA,Inner regional,Female,85-89,102,2,0,4,0,108,42,22,3,0,6,73,258,79,8,2,17,4,368
SAOuter regionalMale85-89,SA,Outer regional,Male,85-89,64,0,0,0,0,64,16,31,1,0,4,52,23,50,7,1,11,1,93
SAOuter regionalFemale85-89,SA,Outer regional,Female,85-89,86,3,1,0,1,91,45,23,5,0,11,84,240,56,4,1,9,2,312
SARemoteMale85-89,SA,Remote,Male,85-89,4,0,0,1,0,5,2,2,1,0,0,5,2,6,1,0,0,0,9
SARemoteFemale85-89,SA,Remote,Female,85-89,15,0,0,0,0,15,5,2,0,0,0,7,29,6,1,0,3,0,39
TasInner regionalMale85-89,Tas,Inner regional,Male,85-89,100,1,0,5,0,106,46,65,1,0,2,114,72,112,5,4,18,0,211
TasInner regionalFemale85-89,Tas,Inner regional,Female,85-89,195,2,0,3,3,203,95,62,3,0,8,168,452,123,21,7,35,4,642
TasOuter regionalMale85-89,Tas,Outer regional,Male,85-89,42,0,0,3,0,45,11,26,0,0,3,40,29,39,4,1,7,0,80
TasOuter regionalFemale85-89,Tas,Outer regional,Female,85-89,75,0,0,1,0,76,34,15,0,0,0,49,163,45,4,3,6,0,221
TasRemoteMale85-89,Tas,Remote,Male,85-89,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,4
TasRemoteFemale85-89,Tas,Remote,Female,85-89,1,0,0,0,0,1,1,0,0,0,1,2,5,6,1,0,0,0,12
TasVery remoteMale85-89,Tas,Very remote,Male,85-89,2,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,2
TasVery remoteFemale85-89,Tas,Very remote,Female,85-89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ACTMajor citiesMale85-89,ACT,Major cities,Male,85-89,77,3,1,1,0,82,20,34,0,0,4,58,42,65,8,5,6,1,127
ACTMajor citiesFemale85-89,ACT,Major cities,Female,85-89,103,2,4,1,1,111,44,41,1,0,9,95,294,80,32,5,11,4,426
NTOuter regionalMale85-89,NT,Outer regional,Male,85-89,4,0,1,0,0,5,3,5,1,0,3,12,3,5,0,3,1,0,12
NTOuter regionalFemale85-89,NT,Outer regional,Female,85-89,12,0,0,0,0,12,3,7,0,0,2,12,30,4,4,0,1,0,39
NTRemoteMale85-89,NT,Remote,Male,85-89,3,0,0,0,0,3,2,2,0,0,0,4,3,1,0,0,0,1,5
NTRemoteFemale85-89,NT,Remote,Female,85-89,6,0,0,0,0,6,0,2,1,0,0,3,12,1,2,1,1,0,17
NTVery remoteMale85-89,NT,Very remote,Male,85-89,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
NTVery remoteFemale85-89,NT,Very remote,Female,85-89,1,0,0,0,0,1,0,2,0,0,0,2,4,0,0,0,1,0,5
NSWMajor citiesMale90-94,NSW,Major cities,Male,90-94,816,22,19,21,9,887,452,787,32,0,99,1370,688,761,65,16,96,14,1640
NSWMajor citiesFemale90-94,NSW,Major cities,Female,90-94,1992,50,52,34,20,2148,1425,947,51,0,215,2638,4842,826,174,22,372,72,6308
NSWInner regionalMale90-94,NSW,Inner regional,Male,90-94,297,8,6,9,1,321,189,315,14,0,48,566,276,284,21,7,31,6,625
NSWInner regionalFemale90-94,NSW,Inner regional,Female,90-94,741,14,13,14,5,787,486,305,23,0,78,892,1780,308,37,6,97,13,2241
NSWOuter regionalMale90-94,NSW,Outer regional,Male,90-94,70,6,6,2,0,84,44,52,1,0,6,103,77,57,6,2,7,0,149
NSWOuter regionalFemale90-94,NSW,Outer regional,Female,90-94,172,9,4,4,1,190,135,64,1,0,22,222,466,69,7,0,30,5,577
NSWRemoteMale90-94,NSW,Remote,Male,90-94,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,4
NSWRemoteFemale90-94,NSW,Remote,Female,90-94,3,0,3,0,0,6,1,2,0,0,0,3,8,0,0,0,0,0,8
VicMajor citiesMale90-94,Vic,Major cities,Male,90-94,628,10,9,12,2,661,394,616,27,0,54,1091,583,648,37,19,68,16,1371
VicMajor citiesFemale90-94,Vic,Major cities,Female,90-94,1556,26,32,28,8,1650,1127,713,24,0,124,1988,3671,702,110,8,255,50,4796
VicInner regionalMale90-94,Vic,Inner regional,Male,90-94,252,3,3,3,0,261,159,209,6,0,25,399,201,204,7,11,23,6,452
VicInner regionalFemale90-94,Vic,Inner regional,Female,90-94,506,11,11,3,2,533,396,209,12,0,55,672,1291,220,28,6,79,12,1636
VicOuter regionalMale90-94,Vic,Outer regional,Male,90-94,52,2,0,1,1,56,38,48,1,0,6,93,45,50,1,0,8,0,104
VicOuter regionalFemale90-94,Vic,Outer regional,Female,90-94,116,4,0,2,9,131,82,37,2,0,11,132,304,46,6,2,9,3,370
VicRemoteMale90-94,Vic,Remote,Male,90-94,1,1,0,0,0,2,1,0,0,0,0,1,1,3,0,0,0,0,4
VicRemoteFemale90-94,Vic,Remote,Female,90-94,2,0,0,0,0,2,1,2,0,0,1,4,3,1,0,0,0,0,4
QldMajor citiesMale90-94,Qld,Major cities,Male,90-94,442,5,4,8,2,461,218,388,8,0,34,648,312,390,29,13,39,7,790
QldMajor citiesFemale90-94,Qld,Major cities,Female,90-94,930,14,4,19,4,971,706,467,21,0,52,1246,2361,420,63,10,149,30,3033
QldInner regionalMale90-94,Qld,Inner regional,Male,90-94,152,4,4,3,0,163,94,136,4,0,19,253,138,130,13,3,25,3,312
QldInner regionalFemale90-94,Qld,Inner regional,Female,90-94,364,5,3,14,2,388,210,154,7,0,46,417,858,144,16,3,49,10,1080
QldOuter regionalMale90-94,Qld,Outer regional,Male,90-94,77,2,1,1,0,81,39,63,3,0,6,111,68,64,6,1,12,3,154
QldOuter regionalFemale90-94,Qld,Outer regional,Female,90-94,161,2,5,1,1,170,110,94,1,0,16,221,375,60,7,2,22,8,474
QldRemoteMale90-94,Qld,Remote,Male,90-94,0,0,0,0,0,0,2,3,1,0,1,7,2,2,1,0,0,1,6
QldRemoteFemale90-94,Qld,Remote,Female,90-94,7,0,1,1,0,9,5,7,0,0,0,12,21,3,0,0,2,0,26
QldVery remoteMale90-94,Qld,Very remote,Male,90-94,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2
QldVery remoteFemale90-94,Qld,Very remote,Female,90-94,1,0,0,0,0,1,2,1,0,0,0,3,3,0,0,0,0,0,3
WAMajor citiesMale90-94,WA,Major cities,Male,90-94,219,5,4,3,6,237,113,158,4,0,30,305,168,193,21,12,24,1,419
WAMajor citiesFemale90-94,WA,Major cities,Female,90-94,506,14,20,8,0,548,385,203,13,0,72,673,1357,252,65,8,88,14,1784
WAInner regionalMale90-94,WA,Inner regional,Male,90-94,40,0,0,1,0,41,17,45,0,0,3,65,38,33,5,0,1,0,77
WAInner regionalFemale90-94,WA,Inner regional,Female,90-94,95,0,0,2,0,97,59,47,1,0,6,113,219,38,2,3,2,3,267
WAOuter regionalMale90-94,WA,Outer regional,Male,90-94,20,0,1,0,0,21,4,13,0,0,0,17,12,12,0,1,2,0,27
WAOuter regionalFemale90-94,WA,Outer regional,Female,90-94,37,2,1,0,0,40,44,19,0,0,2,65,126,16,6,1,6,0,155
WARemoteMale90-94,WA,Remote,Male,90-94,2,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,0,1,9
WARemoteFemale90-94,WA,Remote,Female,90-94,8,1,0,0,0,9,4,2,0,0,1,7,7,3,0,1,1,0,12
WAVery remoteMale90-94,WA,Very remote,Male,90-94,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
WAVery remoteFemale90-94,WA,Very remote,Female,90-94,3,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3
SAMajor citiesMale90-94,SA,Major cities,Male,90-94,297,4,2,2,3,308,167,237,5,0,24,433,258,262,19,10,19,3,571
SAMajor citiesFemale90-94,SA,Major cities,Female,90-94,623,3,3,4,2,635,485,258,20,0,40,803,1557,272,53,8,96,19,2005
SAInner regionalMale90-94,SA,Inner regional,Male,90-94,37,0,0,1,0,38,24,36,2,0,2,64,30,30,3,0,7,2,72
SAInner regionalFemale90-94,SA,Inner regional,Female,90-94,99,0,0,0,0,99,64,28,7,0,6,105,258,46,10,1,8,2,325
SAOuter regionalMale90-94,SA,Outer regional,Male,90-94,27,1,1,2,1,32,14,23,1,0,4,42,28,30,2,1,4,0,65
SAOuter regionalFemale90-94,SA,Outer regional,Female,90-94,77,1,1,0,0,79,62,29,3,0,22,116,204,28,2,1,8,4,247
SARemoteMale90-94,SA,Remote,Male,90-94,3,0,0,0,0,3,2,0,0,0,0,2,7,2,0,0,0,0,9
SARemoteFemale90-94,SA,Remote,Female,90-94,7,0,0,0,0,7,7,4,0,0,1,12,25,3,1,0,2,0,31
TasInner regionalMale90-94,Tas,Inner regional,Male,90-94,79,0,0,0,0,79,42,72,2,0,9,125,54,73,3,1,9,2,142
TasInner regionalFemale90-94,Tas,Inner regional,Female,90-94,195,0,1,2,1,199,148,59,2,0,14,223,425,85,8,0,18,1,537
TasOuter regionalMale90-94,Tas,Outer regional,Male,90-94,27,0,0,0,0,27,22,26,0,0,2,50,24,22,1,0,1,0,48
TasOuter regionalFemale90-94,Tas,Outer regional,Female,90-94,41,0,1,2,0,44,63,18,0,0,4,85,110,18,3,1,4,1,137
TasRemoteMale90-94,Tas,Remote,Male,90-94,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,3
TasRemoteFemale90-94,Tas,Remote,Female,90-94,5,0,1,0,0,6,3,2,0,0,0,5,8,2,0,0,0,0,10
TasVery remoteMale90-94,Tas,Very remote,Male,90-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TasVery remoteFemale90-94,Tas,Very remote,Female,90-94,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3
ACTMajor citiesMale90-94,ACT,Major cities,Male,90-94,58,1,0,0,0,59,26,37,0,0,7,70,30,39,3,0,0,1,73
ACTMajor citiesFemale90-94,ACT,Major cities,Female,90-94,89,2,1,0,1,93,90,34,1,0,14,139,222,27,8,1,11,4,273
NTOuter regionalMale90-94,NT,Outer regional,Male,90-94,2,0,0,0,0,2,2,2,0,0,0,4,1,2,2,0,0,0,5
NTOuter regionalFemale90-94,NT,Outer regional,Female,90-94,7,0,1,0,0,8,9,4,0,0,0,13,20,2,0,0,0,0,22
NTRemoteMale90-94,NT,Remote,Male,90-94,2,0,0,0,0,2,1,2,0,0,0,3,1,0,0,0,0,0,1
NTRemoteFemale90-94,NT,Remote,Female,90-94,6,0,0,0,0,6,0,2,0,0,0,2,6,0,0,1,1,0,8
NTVery remoteMale90-94,NT,Very remote,Male,90-94,3,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,1
NTVery remoteFemale90-94,NT,Very remote,Female,90-94,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
NSWMajor citiesMale95+,NSW,Major cities,Male,95+,284,5,12,5,1,307,279,373,14,0,43,709,270,177,9,7,21,5,489
NSWMajor citiesFemale95+,NSW,Major cities,Female,95+,1210,31,31,16,9,1297,950,520,32,0,165,1667,2441,169,49,6,183,40,2888
NSWInner regionalMale95+,NSW,Inner regional,Male,95+,121,1,1,1,1,125,109,122,9,0,22,262,91,69,3,2,12,1,178
NSWInner regionalFemale95+,NSW,Inner regional,Female,95+,417,12,10,4,3,446,390,198,6,0,49,643,789,59,13,1,43,10,915
NSWOuter regionalMale95+,NSW,Outer regional,Male,95+,23,0,3,0,0,26,29,35,0,0,6,70,25,18,0,1,2,0,46
NSWOuter regionalFemale95+,NSW,Outer regional,Female,95+,110,3,2,1,2,118,80,38,1,0,18,137,189,17,4,0,5,2,217
NSWRemoteMale95+,NSW,Remote,Male,95+,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
NSWRemoteFemale95+,NSW,Remote,Female,95+,2,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,5
VicMajor citiesMale95+,Vic,Major cities,Male,95+,288,1,3,5,0,297,241,299,9,0,30,579,213,172,3,1,17,4,410
VicMajor citiesFemale95+,Vic,Major cities,Female,95+,947,13,10,7,4,981,785,357,19,0,65,1226,1798,160,29,5,138,30,2160
VicInner regionalMale95+,Vic,Inner regional,Male,95+,108,1,1,0,3,113,88,81,1,0,11,181,58,72,2,1,8,2,143
VicInner regionalFemale95+,Vic,Inner regional,Female,95+,364,2,4,1,1,372,217,105,3,0,35,360,587,62,12,2,27,17,707
VicOuter regionalMale95+,Vic,Outer regional,Male,95+,24,1,0,1,0,26,14,26,1,0,4,45,19,12,0,3,4,0,38
VicOuter regionalFemale95+,Vic,Outer regional,Female,95+,81,3,0,2,0,86,65,24,1,0,10,100,126,13,0,0,6,1,146
VicRemoteMale95+,Vic,Remote,Male,95+,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
VicRemoteFemale95+,Vic,Remote,Female,95+,3,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,1,0,7
QldMajor citiesMale95+,Qld,Major cities,Male,95+,162,1,1,7,0,171,139,172,4,0,13,328,134,127,0,1,11,6,279
QldMajor citiesFemale95+,Qld,Major cities,Female,95+,553,5,2,8,3,571,475,210,9,0,41,735,1093,103,16,3,69,23,1307
QldInner regionalMale95+,Qld,Inner regional,Male,95+,59,1,0,0,0,60,49,79,2,0,6,136,64,38,2,0,7,2,113
QldInner regionalFemale95+,Qld,Inner regional,Female,95+,200,4,0,1,0,205,154,89,4,0,32,279,409,34,6,0,21,8,478
QldOuter regionalMale95+,Qld,Outer regional,Male,95+,23,0,0,0,0,23,26,28,1,0,3,58,24,10,1,0,6,0,41
QldOuter regionalFemale95+,Qld,Outer regional,Female,95+,89,0,2,0,0,91,69,42,3,0,11,125,203,17,4,0,8,1,233
QldRemoteMale95+,Qld,Remote,Male,95+,2,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,1
QldRemoteFemale95+,Qld,Remote,Female,95+,2,0,0,1,0,3,3,0,0,0,1,4,12,0,0,0,1,0,13
QldVery remoteMale95+,Qld,Very remote,Male,95+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QldVery remoteFemale95+,Qld,Very remote,Female,95+,1,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,1,3
WAMajor citiesMale95+,WA,Major cities,Male,95+,88,3,0,2,1,94,74,99,1,0,25,199,83,79,2,1,8,0,173
WAMajor citiesFemale95+,WA,Major cities,Female,95+,363,10,7,1,1,382,249,112,6,0,57,424,742,69,16,5,41,6,879
WAInner regionalMale95+,WA,Inner regional,Male,95+,19,0,0,0,0,19,16,18,0,0,2,36,12,12,1,1,0,0,26
WAInner regionalFemale95+,WA,Inner regional,Female,95+,52,0,2,0,0,54,31,16,0,0,5,52,101,9,4,0,4,0,118
WAOuter regionalMale95+,WA,Outer regional,Male,95+,3,1,0,0,0,4,3,7,0,0,0,10,8,4,0,0,1,0,13
WAOuter regionalFemale95+,WA,Outer regional,Female,95+,27,0,1,2,0,30,27,14,0,0,2,43,55,9,0,1,1,2,68
WARemoteMale95+,WA,Remote,Male,95+,4,0,0,0,0,4,1,1,0,0,0,2,1,2,0,0,0,0,3
WARemoteFemale95+,WA,Remote,Female,95+,2,0,0,0,0,2,2,1,0,0,3,6,11,1,0,0,0,0,12
WAVery remoteMale95+,WA,Very remote,Male,95+,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,1,0,1,3
WAVery remoteFemale95+,WA,Very remote,Female,95+,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
SAMajor citiesMale95+,SA,Major cities,Male,95+,99,0,2,2,1,104,110,124,2,0,7,243,65,83,3,1,2,2,156
SAMajor citiesFemale95+,SA,Major cities,Female,95+,437,0,2,3,0,442,343,118,10,0,22,493,808,77,9,3,55,7,959
SAInner regionalMale95+,SA,Inner regional,Male,95+,15,0,0,0,0,15,2,23,1,0,2,28,12,11,1,0,1,0,25
SAInner regionalFemale95+,SA,Inner regional,Female,95+,64,0,0,0,0,64,53,17,2,0,10,82,126,13,2,0,9,2,152
SAOuter regionalMale95+,SA,Outer regional,Male,95+,16,0,1,0,0,17,14,12,2,0,3,31,14,10,0,0,0,1,25
SAOuter regionalFemale95+,SA,Outer regional,Female,95+,51,0,1,0,0,52,38,11,1,0,8,58,93,7,2,0,3,1,106
SARemoteMale95+,SA,Remote,Male,95+,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
SARemoteFemale95+,SA,Remote,Female,95+,2,0,0,0,0,2,5,1,0,0,0,6,9,0,0,0,0,0,9
TasInner regionalMale95+,Tas,Inner regional,Male,95+,30,0,0,0,0,30,22,26,1,0,2,51,23,12,0,0,0,0,35
TasInner regionalFemale95+,Tas,Inner regional,Female,95+,100,1,0,1,0,102,93,39,0,0,4,136,196,18,2,0,13,2,231
TasOuter regionalMale95+,Tas,Outer regional,Male,95+,12,0,0,0,0,12,6,9,1,0,3,19,4,5,1,0,0,0,10
TasOuter regionalFemale95+,Tas,Outer regional,Female,95+,35,0,0,1,0,36,30,8,0,0,0,38,55,2,1,0,1,0,59
TasRemoteMale95+,Tas,Remote,Male,95+,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
TasRemoteFemale95+,Tas,Remote,Female,95+,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4
TasVery remoteMale95+,Tas,Very remote,Male,95+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TasVery remoteFemale95+,Tas,Very remote,Female,95+,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
ACTMajor citiesMale95+,ACT,Major cities,Male,95+,17,0,0,0,0,17,12,14,0,0,3,29,12,11,0,0,1,0,24
ACTMajor citiesFemale95+,ACT,Major cities,Female,95+,60,1,1,0,0,62,53,20,1,0,8,82,105,7,4,0,3,0,119
NTOuter regionalMale95+,NT,Outer regional,Male,95+,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
NTOuter regionalFemale95+,NT,Outer regional,Female,95+,3,0,0,0,0,3,3,4,0,0,1,8,2,0,1,0,0,0,3
NTRemoteMale95+,NT,Remote,Male,95+,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NTRemoteFemale95+,NT,Remote,Female,95+,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,7
NTVery remoteMale95+,NT,Very remote,Male,95+,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
NTVery remoteFemale95+,NT,Very remote,Female,95+,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
